position,team,matches_played,goals_for,goals_against,goal_difference,total_points
1,Arsenal,26,50,18,32,57
2,Manchester City,26,54,24,30,53
3,Aston Villa,26,37,27,10,50
4,Manchester Utd,26,47,37,10,45
5,Chelsea,26,47,30,17,44
6,Liverpool,26,41,35,6,42
7,Brentford,26,40,35,5,40
8,Everton,26,29,30,-1,37
9,Bournemouth,26,43,45,-2,37
10,Newcastle Utd,26,37,37,0,36
11,Sunderland,26,27,30,-3,36
12,Fulham,26,35,40,-5,34
13,Crystal Palace,26,28,32,-4,32
14,Brighton,26,34,34,0,31
15,Leeds United,26,36,45,-9,30
16,Tottenham,26,36,37,-1,29
17,Nottingham Forest,26,25,38,-13,27
18,West Ham,26,32,49,-17,24
19,Burnley,26,28,51,-23,18
20,Wolves,26,16,48,-32,9